Country People Capital Maintain PCR Tourism_type Optional1 Optional2 Optional3 Optional4
Britain 3311878 Odessa SouthAmerica 0 Excursion 46 History - - 
Georgia 9983929 Moscow Antarctica 0 Excursion 7 Art - - 
Britain 4750458 Odessa Africa 0 Excursion 64 Nature - - 
Ukraine 7411927 Colorado Antarctica 0 Excursion 98 Nature - - 
Britain 9105746 Colorado Antarctica 0 Beach Winter -4 5 354 
China 180416 London SouthAmerica 0 Excursion 88 History - - 
Bulgary 1820147 Chelyabinsk Europe 0 Sport Skiing 718240 - - 
Australia 9723098 Minsk NorthAmerica 0 Sport Surfing 116853 - - 
Ukraine 1990277 Minsk Europe 0 Excursion 44 Art - - 
Britain 1361626 Seul Antarctica 1 Excursion 84 History - - 
Britain 8101531 Colorado SouthAmerica 1 Excursion 36 Art - - 
USA 357507 Chelyabinsk SouthAmerica 1 Beach Autumn -13 28 475 
Britain 1273029 Sochi Africa 1 Excursion 36 History - - 
Ukraine 4298963 Zavolzhye SouthAmerica 0 Excursion 49 Art - - 
Britain 7794710 Zavolzhye Asia 1 Beach Spring -18 20 522 
Britain 48652 Belgorod NorthAmerica 0 Excursion 65 History - - 
Georgia 6914033 Honkong NorthAmerica 0 Beach Winter 18 19 687 
Georgia 4703057 Zavolzhye Antarctica 0 Sport Skiing 605712 - - 
Japan 8951664 Humburg Asia 1 Excursion 16 Nature - - 
Georgia 4926887 London NorthAmerica 1 Excursion 2 History - - 
Russia 591060 Odessa NorthAmerica 1 Sport Skiing 327185 - - 
Ukraine 4630235 Chelyabinsk Europe 1 Excursion 60 Nature - - 
Australia 5456137 Humburg Oceania 0 Excursion 37 Nature - - 
Belarus 3431531 Seul Oceania 1 Sport Surfing 513305 - - 
USA 9506898 Minsk Oceania 0 Excursion 72 History - - 
Belarus 4565084 Sochi NorthAmerica 1 Beach Summer -11 6 272 
China 5667066 Colorado Antarctica 0 Sport Skiing 639116 - - 
Japan 510574 Colorado Asia 0 Excursion 35 Nature - - 
Britain 6269170 Humburg Asia 0 Beach Winter -14 18 450 
China 2911650 London Antarctica 1 Sport Skiing 878529 - - 
Bulgary 7572965 Sochi Asia 0 Excursion 87 History - - 
Germany 1940124 Humburg NorthAmerica 0 Excursion 43 Nature - - 
Bulgary 4475461 Moscow Asia 1 Beach Autumn -13 4 657 
Ukraine 8884811 Colorado Europe 1 Excursion 34 Nature - - 
Georgia 1484637 Belgorod Oceania 0 Beach Summer -2 22 632 
Japan 3036985 Humburg Oceania 1 Beach Winter -24 4 381 
Britain 3996095 Colorado Europe 0 Sport Climb 13205 - - 
Britain 1170031 Chelyabinsk Oceania 1 Sport Climb 651505 - - 
China 5206744 Odessa Oceania 0 Sport Climb 335738 - - 
Bulgary 9252321 Odessa SouthAmerica 1 Sport Surfing 79622 - - 
Britain 6427351 London Africa 0 Sport Skiing 961864 - - 
Japan 1627364 Colorado NorthAmerica 0 Excursion 70 Art - - 
Australia 5443167 Minsk Africa 0 Sport Climb 165090 - - 
Germany 4091213 Chelyabinsk SouthAmerica 1 Sport Climb 504240 - - 
Australia 1456932 Minsk NorthAmerica 1 Beach Autumn -6 23 714 
Russia 6972304 Zavolzhye Oceania 0 Excursion 54 Art - - 
Germany 8425995 Minsk Europe 0 Sport Surfing 529991 - - 
Australia 3467716 Chelyabinsk Asia 0 Sport Climb 905624 - - 
Ukraine 5504228 Seul Asia 0 Beach Winter -16 19 330 
Belarus 7114697 Honkong Oceania 1 Beach Autumn -2 14 213 
Belarus 213844 Belgorod SouthAmerica 1 Sport Skiing 174495 - - 
Australia 8447214 Minsk Europe 0 Excursion 81 Art - - 
Japan 7716370 Humburg Europe 1 Beach Winter -26 5 477 
Ukraine 3801120 Zavolzhye Africa 1 Beach Summer 11 7 196 
China 9773788 Seul Africa 1 Sport Skiing 889410 - - 
Australia 657453 London Africa 1 Sport Skiing 992100 - - 
Ukraine 888910 Chelyabinsk Antarctica 0 Beach Autumn 7 12 151 
Ukraine 2239476 Moscow Africa 0 Sport Skiing 429049 - - 
Bulgary 6977173 Humburg SouthAmerica 1 Sport Surfing 535104 - - 
Ukraine 3876190 Honkong Africa 1 Excursion 14 History - - 
Britain 385165 Zavolzhye Antarctica 1 Beach Spring 37 21 234 
Bulgary 8040014 Moscow NorthAmerica 1 Sport Surfing 71337 - - 
Belarus 6160865 Colorado Antarctica 1 Beach Spring -14 29 118 
Georgia 2665431 Honkong Europe 0 Excursion 33 History - - 
Belarus 8759214 Chelyabinsk NorthAmerica 0 Sport Climb 249975 - - 
Bulgary 3396212 Colorado Europe 0 Sport Climb 890514 - - 
Britain 477931 Seul Oceania 0 Beach Winter 33 9 89 
Ukraine 8749628 Minsk Oceania 0 Excursion 50 Nature - - 
China 908418 London Oceania 1 Excursion 30 History - - 
Belarus 4286580 London SouthAmerica 0 Sport Climb 651724 - - 
Georgia 1972318 Humburg Europe 1 Sport Surfing 124848 - - 
Germany 5709685 Moscow Antarctica 1 Sport Skiing 593756 - - 
Australia 6460092 London Europe 1 Sport Climb 749731 - - 
Australia 2044707 Odessa Europe 0 Excursion 91 History - - 
Germany 433068 Colorado NorthAmerica 1 Excursion 91 Art - - 
USA 2805229 Odessa Africa 0 Sport Skiing 418359 - - 
Belarus 7779767 London Europe 0 Excursion 14 Art - - 
Bulgary 4692705 Colorado Africa 1 Sport Skiing 696721 - - 
Ukraine 4638058 Chelyabinsk SouthAmerica 0 Excursion 1 History - - 
Russia 599876 Odessa NorthAmerica 0 Beach Spring 20 15 496 
Japan 999433 Humburg Antarctica 0 Excursion 76 Art - - 
Germany 5458344 London Africa 0 Sport Skiing 616767 - - 
Bulgary 4527381 Belgorod Europe 0 Sport Climb 522635 - - 
Bulgary 1379426 Belgorod SouthAmerica 1 Beach Winter 16 19 158 
USA 1535990 Honkong Antarctica 1 Sport Skiing 740825 - - 
Belarus 8185855 Odessa SouthAmerica 1 Beach Summer 40 24 584 
Belarus 7460076 Humburg Asia 1 Beach Winter 17 11 688 
Belarus 2433442 Chelyabinsk Africa 1 Beach Spring 2 15 141 
Belarus 2379603 Minsk Africa 0 Excursion 48 Nature - - 
Belarus 8967794 Zavolzhye NorthAmerica 0 Excursion 86 History - - 
Japan 9878046 Seul Africa 0 Beach Autumn -28 27 173 
Australia 5175905 Odessa Oceania 1 Excursion 48 Nature - - 
Britain 4971673 Belgorod Antarctica 1 Excursion 4 Nature - - 
Germany 7629526 London SouthAmerica 0 Sport Surfing 105506 - - 
China 7608611 Sochi Antarctica 1 Excursion 86 Art - - 
Japan 7123076 Moscow Asia 0 Beach Spring 6 18 312 
China 6131277 Belgorod Antarctica 0 Excursion 26 Nature - - 
USA 5952313 London Oceania 0 Beach Spring 24 6 59 
China 9703880 Honkong NorthAmerica 1 Beach Spring 17 19 296 
Germany 2004022 Colorado NorthAmerica 1 Beach Spring -19 19 4 
Bulgary 4303732 Chelyabinsk NorthAmerica 1 Beach Spring 38 0 111 
Russia 2196339 Odessa NorthAmerica 1 Excursion 15 History - - 
USA 9327603 Belgorod NorthAmerica 0 Beach Autumn -29 7 584 
Britain 8111554 Honkong Asia 1 Sport Climb 950096 - - 
China 6343285 Humburg Antarctica 1 Sport Climb 105026 - - 
Georgia 8245495 Colorado Europe 0 Excursion 94 Art - - 
Russia 5595747 Belgorod Oceania 0 Sport Surfing 311670 - - 
Britain 8059236 Honkong Oceania 1 Beach Summer 26 14 347 
Bulgary 2028921 Colorado SouthAmerica 1 Beach Winter -7 18 594 
Australia 8657181 Humburg SouthAmerica 0 Beach Summer -4 25 585 
China 7278567 Chelyabinsk NorthAmerica 1 Sport Climb 145022 - - 
Britain 8385860 Seul Oceania 1 Beach Spring -6 8 276 
Ukraine 5036047 Honkong Oceania 1 Beach Spring 23 21 62 
Germany 157679 Seul NorthAmerica 1 Beach Summer 2 2 158 
Ukraine 4212920 Moscow Asia 0 Beach Winter -1 21 211 
USA 19293 Sochi NorthAmerica 1 Beach Spring 39 0 61 
Ukraine 6595147 Chelyabinsk Oceania 1 Beach Spring 21 5 606 
USA 151528 Chelyabinsk Europe 1 Excursion 84 History - - 
Germany 6544017 Minsk Antarctica 0 Beach Summer 25 9 467 
Germany 2181295 Colorado Asia 1 Beach Spring 11 6 644 
Belarus 4330847 Odessa Europe 0 Beach Summer 7 29 54 
Belarus 6935848 Zavolzhye Africa 0 Beach Winter -25 18 476 
Ukraine 5551936 Humburg Asia 1 Beach Autumn 29 6 410 
Britain 3953882 Minsk Europe 0 Excursion 46 Nature - - 
Bulgary 9785810 Honkong Europe 1 Beach Winter 38 9 153 
Japan 958471 Sochi Asia 0 Sport Skiing 214756 - - 
Bulgary 2488647 Minsk SouthAmerica 1 Excursion 73 Nature - - 
Japan 1704304 Colorado Oceania 0 Sport Climb 415634 - - 
Bulgary 6375422 Colorado NorthAmerica 1 Excursion 21 Nature - - 
Bulgary 4775460 Zavolzhye NorthAmerica 0 Excursion 57 Art - - 
USA 7951069 Seul Europe 1 Beach Winter 33 25 714 
Germany 8932599 Humburg Antarctica 0 Excursion 34 Nature - - 
Bulgary 297496 Moscow Asia 0 Sport Surfing 356099 - - 
Germany 223757 Zavolzhye NorthAmerica 1 Excursion 13 History - - 
China 6047379 Seul Asia 1 Sport Skiing 329910 - - 
USA 9039175 London NorthAmerica 1 Beach Autumn -29 9 37 
Australia 441770 Belgorod Oceania 1 Excursion 62 Nature - - 
Belarus 213721 Humburg Europe 1 Sport Skiing 518430 - - 
Japan 9391185 Sochi Africa 0 Beach Autumn -28 29 178 
Germany 897208 Minsk Africa 0 Sport Skiing 568723 - - 
Ukraine 9541355 Sochi Europe 0 Excursion 52 Art - - 
Britain 9716326 Odessa Europe 1 Beach Summer -28 18 277 
Georgia 3868796 Seul Antarctica 1 Excursion 55 Art - - 
Germany 5412340 Zavolzhye SouthAmerica 1 Beach Autumn 33 6 306 
Australia 7922393 Sochi SouthAmerica 1 Excursion 88 Nature - - 
Bulgary 3929972 Zavolzhye Asia 0 Excursion 14 History - - 
Bulgary 6765642 Honkong SouthAmerica 1 Beach Spring -21 30 435 
Britain 6796705 Chelyabinsk Europe 1 Excursion 18 Art - - 
Japan 8199560 Colorado Africa 1 Sport Surfing 559740 - - 
Georgia 8951779 Minsk Antarctica 0 Sport Climb 463778 - - 
Japan 7200340 Humburg SouthAmerica 1 Excursion 57 Art - - 
Japan 3176591 Chelyabinsk NorthAmerica 1 Beach Autumn -21 28 320 
Australia 2702754 Sochi SouthAmerica 1 Excursion 2 Art - - 
Britain 6567454 Seul SouthAmerica 1 Excursion 78 Art - - 
Russia 8706902 Belgorod Antarctica 1 Beach Spring 10 17 391 
Britain 9441632 Seul Africa 0 Beach Winter 14 22 281 
China 3948106 Odessa Africa 1 Sport Skiing 508048 - - 
USA 1786657 Chelyabinsk Asia 1 Sport Climb 975673 - - 
Bulgary 6763724 Honkong Asia 1 Excursion 74 History - - 
Australia 1163837 Colorado Europe 1 Beach Spring 14 14 522 
Belarus 5861361 London Oceania 1 Beach Winter 4 27 35 
Russia 6680637 Odessa NorthAmerica 0 Excursion 72 History - - 
China 696306 Moscow Asia 0 Excursion 53 History - - 
USA 104362 Minsk Oceania 1 Beach Autumn 2 11 412 
Germany 358070 Colorado Asia 1 Beach Summer -8 5 55 
Japan 5731692 Moscow Europe 0 Sport Climb 932490 - - 
Britain 1087448 Seul Antarctica 0 Excursion 29 Art - - 
China 1377118 Seul SouthAmerica 1 Beach Autumn 27 30 657 
Bulgary 7772182 Belgorod NorthAmerica 0 Sport Climb 696380 - - 
China 9486238 Belgorod SouthAmerica 0 Beach Autumn -6 25 179 
Russia 4831485 Minsk Europe 1 Beach Autumn -11 15 274 
Georgia 7874001 Honkong NorthAmerica 0 Excursion 73 History - - 
China 5384875 Seul Africa 1 Beach Summer 35 14 526 
Russia 9809002 Moscow Asia 1 Excursion 79 Nature - - 
Britain 8658663 Odessa Antarctica 1 Sport Skiing 563209 - - 
Russia 7208115 Belgorod Europe 0 Sport Climb 1251 - - 
Japan 1323856 Belgorod Oceania 1 Excursion 66 History - - 
Ukraine 4555406 Sochi Oceania 1 Excursion 20 Art - - 
USA 7883780 Chelyabinsk Antarctica 1 Beach Winter -14 10 630 
Britain 3358042 Belgorod NorthAmerica 0 Beach Summer -21 12 315 
Ukraine 8288082 London Oceania 0 Excursion 35 Art - - 
Russia 174358 Honkong Europe 0 Sport Skiing 173233 - - 
USA 8629973 Humburg SouthAmerica 1 Beach Winter -8 10 261 
China 7975658 Zavolzhye Asia 0 Sport Climb 570007 - - 
Britain 2038074 Colorado Europe 0 Sport Climb 463016 - - 
Ukraine 9773614 Zavolzhye Oceania 0 Beach Spring 13 10 169 
Belarus 2215017 Odessa Africa 0 Beach Autumn 36 1 384 
USA 1204939 Honkong SouthAmerica 1 Excursion 16 Nature - - 
Russia 7467110 Chelyabinsk SouthAmerica 1 Sport Surfing 90864 - - 
Belarus 9146335 London Antarctica 1 Beach Autumn 10 9 335 
Germany 8991115 Zavolzhye NorthAmerica 1 Beach Winter -9 30 555 
Australia 414593 Odessa Europe 1 Sport Skiing 618240 - - 
Ukraine 1969964 Chelyabinsk Asia 1 Sport Surfing 563155 - - 
USA 6263565 Odessa Africa 1 Sport Skiing 978855 - - 
Britain 1862239 Chelyabinsk Antarctica 0 Excursion 68 Art - - 
USA 1044719 Belgorod Oceania 1 Excursion 82 Nature - - 
USA 4457727 Odessa Asia 0 Beach Winter 35 19 713 
Australia 9357658 Honkong Africa 0 Excursion 96 Art - - 
Japan 9784109 Chelyabinsk SouthAmerica 0 Excursion 80 History - - 
Germany 1511018 Honkong SouthAmerica 0 Excursion 56 Art - - 
Australia 7426101 Chelyabinsk Oceania 0 Sport Climb 90818 - - 
Australia 6577479 Zavolzhye Oceania 1 Excursion 1 History - - 
Belarus 5911210 Zavolzhye Europe 1 Sport Skiing 669891 - - 
Georgia 8142890 Seul Africa 1 Beach Spring -2 29 182 
Britain 7876331 Belgorod Antarctica 0 Sport Climb 252504 - - 
Belarus 2871116 Colorado NorthAmerica 1 Beach Summer 19 22 551 
Georgia 2952336 Minsk Oceania 0 Beach Spring -22 1 82 
Russia 6096175 Minsk Africa 1 Excursion 41 Art - - 
Ukraine 3906026 Seul Africa 0 Excursion 67 History - - 
Belarus 4442711 Seul SouthAmerica 1 Beach Winter 17 30 278 
Japan 8190217 Belgorod Antarctica 0 Excursion 45 History - - 
Russia 9385964 Belgorod NorthAmerica 1 Sport Climb 746553 - - 
Germany 6875667 Zavolzhye Europe 1 Excursion 58 Nature - - 
Australia 5738371 Chelyabinsk Africa 1 Sport Skiing 74303 - - 
Britain 7565906 London SouthAmerica 1 Beach Summer 21 23 138 
Ukraine 2177105 Zavolzhye Africa 0 Beach Summer 37 4 211 
China 8416030 Odessa Europe 1 Beach Winter 35 22 25 
Ukraine 5798539 Moscow Europe 1 Beach Spring -24 4 297 
Georgia 2045404 Sochi Asia 0 Sport Skiing 68075 - - 
USA 6264713 Sochi NorthAmerica 0 Beach Spring -2 29 211 
Ukraine 4011300 Seul SouthAmerica 1 Excursion 21 History - - 
USA 9795249 Moscow Europe 1 Sport Surfing 849531 - - 
Ukraine 5395929 Belgorod SouthAmerica 1 Sport Surfing 345857 - - 
China 1702564 Colorado Asia 1 Beach Summer -21 19 691 
Australia 3356276 Belgorod Asia 0 Excursion 19 History - - 
Belarus 1324524 Colorado SouthAmerica 1 Beach Autumn -8 28 541 
Britain 6067380 Seul SouthAmerica 0 Excursion 11 Nature - - 
Germany 668644 Odessa Africa 0 Beach Winter -5 8 348 
Britain 4386930 Belgorod NorthAmerica 1 Beach Summer 32 22 248 
Georgia 8175177 Seul Africa 0 Excursion 23 History - - 
Britain 3037508 Zavolzhye Europe 0 Sport Skiing 463672 - - 
Australia 9930352 Sochi Asia 0 Beach Summer 27 13 19 
Bulgary 6282704 Seul Antarctica 0 Excursion 58 Art - - 
Ukraine 4706737 Odessa Asia 0 Beach Summer -15 29 72 
USA 372933 Humburg Europe 1 Excursion 64 Art - - 
Bulgary 2446534 Minsk Oceania 0 Beach Spring 17 8 419 
Russia 6302637 Sochi Europe 1 Excursion 36 History - - 
Britain 5406066 Moscow Oceania 1 Sport Climb 721904 - - 
USA 565781 Belgorod Antarctica 1 Excursion 65 Nature - - 
Belarus 7364030 Minsk Europe 1 Excursion 96 History - - 
Russia 9317516 Odessa Asia 1 Beach Winter -17 15 543 
Russia 9283705 Moscow Antarctica 0 Sport Climb 950852 - - 
China 967465 Sochi Europe 0 Excursion 80 Nature - - 
Russia 3383927 Belgorod Europe 1 Beach Summer -29 3 2 
Georgia 5545387 Colorado NorthAmerica 0 Sport Climb 966733 - - 
Russia 6142881 Zavolzhye Asia 1 Beach Spring -19 4 403 
Australia 4031294 Belgorod NorthAmerica 0 Sport Surfing 638041 - - 
Russia 3310679 Sochi Asia 0 Sport Climb 918791 - - 
China 7450513 Honkong Antarctica 1 Beach Autumn 25 10 50 
Britain 6628065 Moscow Europe 0 Sport Climb 228014 - - 
Australia 9214074 Moscow SouthAmerica 1 Beach Winter -12 8 523 
Germany 4610076 Belgorod NorthAmerica 0 Excursion 54 History - - 
Germany 7327920 Minsk Oceania 1 Excursion 40 History - - 
Russia 8616892 Belgorod Europe 0 Sport Skiing 222456 - - 
Germany 5180272 Sochi Antarctica 1 Beach Summer 1 6 420 
Bulgary 8994746 London Antarctica 0 Excursion 22 History - - 
Germany 9408129 Colorado Antarctica 0 Excursion 40 Art - - 
Australia 7947870 Moscow Antarctica 0 Beach Autumn 39 10 485 
Bulgary 2566564 Zavolzhye NorthAmerica 0 Sport Surfing 480119 - - 
China 1685086 Moscow Antarctica 1 Sport Climb 149333 - - 
Germany 9490865 Moscow Asia 0 Sport Surfing 841773 - - 
Russia 976972 Humburg Europe 1 Sport Skiing 468791 - - 
China 3546567 Humburg Africa 0 Beach Winter -11 0 628 
Australia 7990566 London Europe 1 Sport Surfing 27848 - - 
Georgia 2173236 Colorado Antarctica 0 Sport Surfing 740850 - - 
Bulgary 2457206 Belgorod SouthAmerica 0 Sport Climb 959084 - - 
Georgia 1778261 Zavolzhye Europe 0 Excursion 29 Art - - 
USA 9721558 Sochi Asia 1 Beach Autumn -24 14 647 
Australia 3676466 Zavolzhye Oceania 1 Beach Autumn 11 19 152 
