Country People Capital Maintain PCR Tourism_type Optional1 Optional2 Optional3 Optional4
China 3715633 Zavolzhye Asia 0 Beach Spring -8 17 345 
Belarus 3945194 Sochi NorthAmerica 1 Sport Surfing 837719 - - 
Belarus 202217 Colorado Antarctica 0 Excursion 85 Nature - - 
Japan 3669841 Odessa SouthAmerica 1 Sport Surfing 568344 - - 
Russia 2645431 Belgorod Asia 1 Excursion 44 Art - - 
China 5278435 Odessa Oceania 0 Excursion 2 Art - - 
China 7700252 London Oceania 1 Excursion 3 History - - 
Bulgary 8798008 Humburg Europe 1 Excursion 15 Art - - 
Japan 7617884 Sochi Europe 1 Excursion 12 Art - - 
China 8415253 Moscow NorthAmerica 1 Sport Surfing 479073 - - 
Ukraine 5438001 Odessa NorthAmerica 0 Sport Surfing 521353 - - 
Bulgary 2980057 Chelyabinsk Africa 1 Sport Skiing 532205 - - 
China 2695655 Chelyabinsk Oceania 0 Sport Climb 276536 - - 
Germany 2879167 Moscow Antarctica 1 Sport Surfing 179831 - - 
Belarus 5525746 Humburg Europe 1 Beach Autumn -14 26 282 
Georgia 3985646 London SouthAmerica 0 Sport Surfing 381512 - - 
Belarus 1303561 Sochi Asia 0 Excursion 9 Art - - 
USA 146214 London Oceania 1 Excursion 54 Nature - - 
Bulgary 5520242 Colorado NorthAmerica 0 Sport Climb 516971 - - 
Japan 4748628 Belgorod Europe 0 Excursion 51 History - - 
Britain 9011220 Colorado Africa 0 Sport Surfing 325516 - - 
Ukraine 7557282 Humburg Antarctica 1 Beach Summer 17 1 180 
Japan 4931536 Zavolzhye Europe 1 Excursion 64 Art - - 
Georgia 2498189 Humburg Asia 1 Excursion 56 Nature - - 
USA 8360329 Seul Oceania 0 Beach Spring -12 26 315 
China 93748 Odessa NorthAmerica 0 Excursion 82 Art - - 
Australia 2627276 Colorado Europe 1 Excursion 38 History - - 
Belarus 5217039 Zavolzhye Europe 0 Excursion 9 Art - - 
Germany 1359113 Humburg NorthAmerica 1 Excursion 83 Art - - 
Belarus 7405228 Odessa Europe 1 Beach Summer -15 18 502 
Britain 7748578 Belgorod Europe 0 Sport Climb 572667 - - 
Belarus 426437 Odessa Europe 0 Sport Surfing 306719 - - 
Bulgary 7820071 Humburg Africa 1 Sport Skiing 611878 - - 
Germany 8704710 London Antarctica 1 Excursion 7 History - - 
Belarus 6713519 Odessa Asia 1 Excursion 68 History - - 
Russia 3395428 Minsk Africa 1 Sport Skiing 29451 - - 
Russia 976326 Colorado NorthAmerica 1 Beach Summer -8 7 390 
Belarus 3977066 London Africa 0 Beach Winter -24 25 587 
China 4444149 Humburg Europe 1 Excursion 69 Art - - 
Bulgary 144009 Zavolzhye Asia 1 Beach Winter 28 20 357 
Georgia 5021967 Colorado SouthAmerica 0 Excursion 72 Art - - 
Russia 4329765 Honkong Antarctica 0 Beach Autumn -29 19 679 
Ukraine 6438204 London Asia 0 Sport Climb 785985 - - 
Japan 2080500 Moscow NorthAmerica 1 Beach Summer -17 17 344 
Ukraine 8247390 Odessa Africa 1 Excursion 77 Nature - - 
Georgia 4706024 Zavolzhye Oceania 1 Beach Autumn -14 28 105 
Russia 7087431 Humburg Europe 0 Sport Surfing 712501 - - 
Georgia 591112 Seul Oceania 1 Excursion 64 Art - - 
Japan 2922985 Honkong Asia 1 Beach Autumn -27 3 178 
USA 8482474 Humburg Oceania 1 Sport Skiing 712875 - - 
Australia 1487122 Odessa SouthAmerica 1 Beach Summer -23 7 397 
Britain 8952 Sochi Europe 0 Beach Spring -30 9 449 
Russia 2155 Odessa Africa 0 Excursion 24 Art - - 
Britain 3733524 Minsk SouthAmerica 0 Excursion 8 History - - 
Australia 6333118 Sochi Oceania 0 Beach Autumn 31 7 50 
Japan 437598 Odessa Asia 0 Sport Skiing 761035 - - 
Georgia 9246877 Sochi SouthAmerica 1 Sport Climb 397964 - - 
Japan 7766521 Humburg Antarctica 0 Sport Surfing 637919 - - 
Australia 1923806 Belgorod Africa 1 Sport Skiing 925611 - - 
Japan 8451997 Odessa Asia 0 Sport Surfing 823998 - - 
Ukraine 7382731 Humburg NorthAmerica 0 Beach Winter 36 14 270 
Georgia 9019211 Belgorod Asia 1 Sport Climb 285705 - - 
Japan 867796 Odessa NorthAmerica 0 Sport Surfing 570873 - - 
Australia 3198215 Zavolzhye NorthAmerica 1 Beach Winter -18 5 491 
Georgia 88066 Chelyabinsk Europe 1 Excursion 55 Art - - 
Russia 8937279 Colorado Africa 0 Beach Spring -11 10 84 
USA 3312447 Zavolzhye Oceania 0 Excursion 27 Art - - 
China 3050606 Minsk Africa 0 Beach Summer 34 30 122 
USA 2994898 Chelyabinsk Oceania 1 Excursion 19 Art - - 
Belarus 7440946 Moscow Oceania 0 Excursion 3 Art - - 
USA 9941329 Belgorod SouthAmerica 1 Excursion 36 Nature - - 
Ukraine 5044103 Zavolzhye Africa 1 Sport Climb 399439 - - 
Russia 4560250 Odessa NorthAmerica 0 Sport Climb 680446 - - 
Russia 5257076 Odessa Africa 0 Excursion 89 History - - 
Australia 1577326 Humburg Antarctica 1 Beach Summer -4 2 577 
Belarus 1270880 Chelyabinsk Antarctica 0 Excursion 3 Art - - 
Belarus 6849229 Colorado NorthAmerica 0 Sport Climb 402444 - - 
USA 2691296 London Oceania 0 Sport Surfing 98497 - - 
Ukraine 7310408 Belgorod Africa 1 Beach Spring -25 6 378 
China 7630428 Chelyabinsk Oceania 1 Excursion 75 History - - 
Britain 4817178 Humburg Asia 0 Excursion 88 Art - - 
Australia 7618088 Humburg NorthAmerica 0 Sport Surfing 578105 - - 
Japan 5194265 Seul NorthAmerica 1 Sport Climb 488829 - - 
Bulgary 9014499 London NorthAmerica 0 Beach Winter 33 11 367 
Belarus 4027787 Seul SouthAmerica 1 Sport Surfing 219376 - - 
Britain 6822650 Chelyabinsk SouthAmerica 0 Sport Skiing 868879 - - 
Japan 1387622 London Europe 1 Beach Autumn 30 29 217 
Bulgary 7180192 Colorado Asia 0 Sport Surfing 281111 - - 
Japan 6090478 Sochi Africa 1 Beach Summer 35 7 207 
Georgia 9722230 Odessa Europe 0 Sport Skiing 180582 - - 
Ukraine 4606830 London NorthAmerica 0 Beach Summer 9 16 682 
Germany 608841 Belgorod Europe 1 Excursion 35 Nature - - 
Japan 4314046 Colorado NorthAmerica 0 Beach Summer 35 1 227 
Britain 328609 London Oceania 1 Beach Summer -21 14 500 
Japan 1251007 Minsk Europe 1 Excursion 64 Art - - 
China 7658710 Minsk Asia 0 Excursion 53 History - - 
Georgia 6460653 Belgorod SouthAmerica 0 Excursion 64 Nature - - 
Australia 2462399 Odessa SouthAmerica 0 Sport Surfing 996557 - - 
USA 3736593 Chelyabinsk NorthAmerica 1 Sport Surfing 476312 - - 
Australia 4820939 Humburg Africa 1 Sport Skiing 439724 - - 
Georgia 9822510 Belgorod Europe 0 Excursion 43 History - - 
Belarus 615358 London NorthAmerica 1 Sport Climb 249126 - - 
Germany 5286630 Honkong NorthAmerica 1 Excursion 10 Art - - 
Japan 1939906 Minsk Oceania 1 Beach Summer 31 29 140 
Germany 7967764 Seul Oceania 0 Sport Climb 986448 - - 
Russia 3525193 Zavolzhye Europe 0 Excursion 16 Art - - 
Georgia 8448781 Chelyabinsk Oceania 0 Sport Skiing 119619 - - 
Georgia 6150251 London Oceania 0 Sport Climb 808003 - - 
Bulgary 3552050 Humburg Asia 0 Sport Skiing 184850 - - 
Bulgary 56737 Moscow NorthAmerica 1 Sport Climb 116754 - - 
Russia 5458496 London Oceania 0 Sport Climb 839413 - - 
Russia 8217666 London Asia 1 Excursion 69 Nature - - 
Australia 9663765 Moscow Africa 0 Beach Summer 32 10 688 
China 3872709 Sochi Europe 0 Sport Climb 170406 - - 
Ukraine 5981791 Sochi Oceania 1 Beach Spring -27 10 354 
Georgia 5357632 Zavolzhye Asia 0 Sport Surfing 590822 - - 
Germany 7596754 Moscow Europe 1 Sport Climb 432587 - - 
USA 7788467 Minsk Africa 0 Beach Spring -14 27 237 
Japan 7271144 Honkong Europe 0 Sport Climb 667529 - - 
Britain 9142667 Zavolzhye Antarctica 0 Excursion 8 Art - - 
Bulgary 8989407 Odessa Oceania 0 Beach Spring 20 7 15 
Georgia 7776714 Zavolzhye Europe 1 Excursion 74 Art - - 
Belarus 7698847 Seul Antarctica 1 Sport Surfing 166419 - - 
Japan 1565635 Sochi Antarctica 0 Beach Autumn 16 7 125 
Russia 8601341 Chelyabinsk Oceania 1 Sport Surfing 750961 - - 
Ukraine 1984923 Odessa SouthAmerica 1 Sport Skiing 870124 - - 
Georgia 2901015 London NorthAmerica 0 Beach Winter -1 2 117 
Georgia 3525049 Seul SouthAmerica 1 Beach Autumn 18 24 703 
Ukraine 9041158 Honkong Asia 1 Beach Winter 24 16 470 
Ukraine 33042 Seul Europe 1 Sport Skiing 866456 - - 
Germany 122274 Humburg NorthAmerica 1 Excursion 65 Nature - - 
Georgia 839922 Minsk Oceania 1 Excursion 63 Nature - - 
Australia 2178789 Odessa Antarctica 1 Sport Climb 825836 - - 
USA 831529 Honkong Africa 0 Excursion 50 Nature - - 
Japan 3890045 Zavolzhye Asia 0 Excursion 91 History - - 
Britain 8016303 Moscow NorthAmerica 0 Excursion 66 Nature - - 
Australia 4961368 Belgorod Asia 1 Sport Skiing 263843 - - 
Russia 2829311 Humburg Europe 1 Excursion 77 History - - 
Russia 4946861 Minsk NorthAmerica 1 Beach Autumn -20 27 130 
Georgia 7210773 Chelyabinsk Europe 1 Beach Spring 20 18 84 
China 6156300 Belgorod SouthAmerica 0 Beach Winter -19 22 365 
Germany 2602145 Honkong Europe 1 Excursion 74 Art - - 
USA 5549184 Colorado Antarctica 1 Sport Climb 791641 - - 
Germany 7477199 Sochi SouthAmerica 1 Sport Skiing 374612 - - 
Russia 1169710 Sochi Europe 0 Excursion 1 Art - - 
Belarus 7077481 Honkong Europe 1 Beach Winter -19 16 39 
Britain 1318929 Seul Europe 0 Beach Autumn 37 23 382 
Australia 8200607 London Asia 1 Beach Spring -22 10 317 
Belarus 1712961 Belgorod Antarctica 1 Beach Winter -1 22 714 
Georgia 387551 Humburg Antarctica 0 Beach Winter 26 19 334 
Ukraine 1946789 Minsk Asia 0 Sport Surfing 738325 - - 
Russia 7102317 Odessa Europe 0 Sport Climb 172626 - - 
Germany 2518859 Moscow Africa 1 Excursion 41 Art - - 
Ukraine 3773145 Humburg Asia 1 Excursion 38 History - - 
Japan 1848186 Odessa Antarctica 1 Sport Climb 306541 - - 
USA 5314248 Honkong NorthAmerica 1 Beach Winter -26 20 464 
Bulgary 7865525 Chelyabinsk Europe 1 Beach Summer 12 11 28 
USA 3130032 Seul Europe 0 Excursion 90 Art - - 
Bulgary 3388346 Colorado SouthAmerica 0 Excursion 6 Art - - 
China 125570 Moscow SouthAmerica 1 Excursion 85 Art - - 
Belarus 3827109 Minsk Africa 0 Beach Autumn 2 13 269 
China 8520416 Humburg SouthAmerica 1 Sport Skiing 979405 - - 
Georgia 771892 Humburg Africa 1 Sport Skiing 130440 - - 
Georgia 43505 Belgorod Europe 0 Sport Skiing 158381 - - 
Germany 106607 Belgorod Oceania 0 Sport Climb 939740 - - 
Japan 2465177 Odessa Oceania 1 Beach Spring 22 4 184 
Georgia 7286992 Colorado Asia 1 Beach Autumn -11 3 631 
China 1687393 Minsk Antarctica 0 Excursion 12 Art - - 
Bulgary 8924957 Zavolzhye Africa 0 Sport Skiing 730529 - - 
Bulgary 5997497 Odessa Asia 0 Excursion 47 History - - 
Japan 3148543 Moscow Asia 1 Excursion 54 History - - 
Russia 3461255 London Africa 1 Excursion 87 Nature - - 
Germany 8895873 Moscow Asia 0 Sport Skiing 859132 - - 
Britain 4841831 Humburg Europe 0 Beach Autumn 18 2 386 
Bulgary 4193357 Chelyabinsk NorthAmerica 0 Beach Winter -12 12 227 
Russia 6294265 Honkong SouthAmerica 1 Sport Surfing 558810 - - 
Ukraine 4993617 Humburg NorthAmerica 1 Beach Winter -15 2 581 
USA 1854237 Humburg SouthAmerica 0 Beach Spring 24 19 578 
Britain 3177351 Honkong Africa 1 Sport Skiing 379730 - - 
Australia 5098575 Odessa Asia 1 Beach Summer 37 8 257 
Bulgary 2464070 Moscow Asia 0 Sport Climb 509278 - - 
USA 3782641 Moscow Antarctica 0 Excursion 34 Art - - 
China 3651602 Honkong NorthAmerica 1 Sport Climb 953997 - - 
Australia 3779978 Belgorod Asia 1 Sport Climb 651470 - - 
China 7811333 Zavolzhye Asia 0 Beach Winter 17 5 620 
China 6049118 London Asia 0 Excursion 66 Art - - 
USA 7458358 Zavolzhye Asia 0 Beach Winter -7 26 534 
Bulgary 6701403 Colorado NorthAmerica 0 Beach Autumn 5 30 650 
Ukraine 7206375 Belgorod SouthAmerica 1 Excursion 73 Nature - - 
USA 5493645 London NorthAmerica 1 Beach Summer 37 29 532 
USA 496933 Seul Antarctica 0 Beach Spring -20 0 556 
Bulgary 6694058 Colorado SouthAmerica 0 Beach Autumn -28 12 673 
Australia 1270583 Colorado Antarctica 0 Sport Surfing 5336 - - 
China 224019 Humburg Antarctica 1 Sport Skiing 60514 - - 
China 7335670 Seul NorthAmerica 1 Sport Climb 162024 - - 
Britain 7119064 Chelyabinsk Antarctica 0 Sport Surfing 62537 - - 
Ukraine 8432931 Belgorod Asia 1 Beach Summer -30 8 530 
Russia 1284086 Sochi Antarctica 0 Excursion 32 Nature - - 
Ukraine 5677385 Belgorod Asia 0 Sport Surfing 409382 - - 
Germany 8377606 Belgorod Europe 1 Excursion 96 History - - 
USA 6843448 Moscow Oceania 0 Beach Autumn 25 15 227 
Britain 6416304 Sochi Oceania 0 Excursion 20 History - - 
Belarus 971283 Zavolzhye SouthAmerica 1 Excursion 30 Nature - - 
Russia 9034782 Zavolzhye Asia 0 Sport Surfing 722181 - - 
USA 7938360 Belgorod SouthAmerica 0 Beach Autumn 30 13 528 
Japan 2069152 Colorado Europe 1 Beach Autumn -4 25 573 
Belarus 360619 London Asia 1 Excursion 54 Art - - 
Bulgary 3232994 Odessa Oceania 1 Excursion 13 History - - 
Britain 3390205 Zavolzhye Antarctica 1 Excursion 0 Nature - - 
Russia 5211933 Sochi SouthAmerica 0 Sport Climb 613412 - - 
Japan 8065792 Sochi NorthAmerica 0 Sport Surfing 479090 - - 
Russia 4445241 Humburg Europe 0 Beach Autumn 20 8 717 
Germany 1944201 Chelyabinsk Oceania 1 Sport Climb 432719 - - 
Japan 8044294 Colorado Europe 1 Beach Autumn 11 2 48 
Russia 6421081 Belgorod Oceania 0 Beach Spring 1 0 451 
Bulgary 8487723 Seul Europe 1 Excursion 8 History - - 
China 4485241 Moscow Asia 0 Excursion 41 History - - 
Ukraine 3879803 Minsk Asia 1 Beach Winter 22 9 412 
USA 2971006 Chelyabinsk Africa 1 Excursion 93 History - - 
Belarus 4962577 Chelyabinsk Asia 1 Beach Winter 17 9 30 
Belarus 3635851 Odessa SouthAmerica 1 Beach Winter 31 7 52 
Georgia 8210161 Minsk Asia 1 Beach Winter -4 18 6 
Australia 7024205 Colorado Oceania 0 Sport Surfing 575952 - - 
China 3361224 Minsk Africa 1 Excursion 94 History - - 
Bulgary 5010469 Humburg NorthAmerica 0 Sport Surfing 528263 - - 
USA 6176718 Minsk Asia 1 Excursion 63 Art - - 
Australia 7613917 London SouthAmerica 1 Beach Winter 19 1 210 
Georgia 3251105 Zavolzhye Asia 0 Beach Summer 29 2 603 
Australia 1105595 Sochi SouthAmerica 0 Beach Spring -5 15 45 
Germany 2235052 Minsk Oceania 1 Excursion 27 History - - 
Germany 3445887 Humburg Antarctica 0 Excursion 38 History - - 
Bulgary 5515770 Chelyabinsk NorthAmerica 1 Beach Winter -17 17 26 
Australia 6396271 Sochi Europe 1 Beach Summer -18 19 247 
Australia 7946438 Minsk Africa 0 Beach Autumn 11 16 598 
USA 5907358 Humburg Antarctica 1 Excursion 38 Nature - - 
Ukraine 2067210 Zavolzhye SouthAmerica 0 Sport Surfing 413428 - - 
Ukraine 3198974 Minsk NorthAmerica 0 Beach Winter 16 14 66 
Australia 9494469 Honkong Oceania 0 Sport Skiing 982542 - - 
Bulgary 9491092 Humburg Oceania 0 Beach Summer 5 10 343 
Germany 3402862 Minsk Oceania 1 Excursion 38 Art - - 
USA 7684337 Seul NorthAmerica 1 Excursion 88 History - - 
Bulgary 3338053 Odessa Africa 0 Beach Autumn -15 3 90 
Britain 3143512 Moscow NorthAmerica 1 Excursion 28 Art - - 
Germany 9889540 Zavolzhye SouthAmerica 1 Sport Surfing 685136 - - 
Britain 1334650 Sochi Oceania 0 Excursion 88 History - - 
USA 8175760 Zavolzhye SouthAmerica 0 Beach Winter 4 2 301 
China 2955561 Seul Antarctica 0 Excursion 8 Nature - - 
Georgia 9040786 Zavolzhye NorthAmerica 0 Beach Summer -20 24 659 
Belarus 2718509 Colorado Africa 1 Sport Skiing 778069 - - 
Australia 5253 Moscow Asia 1 Beach Summer 24 26 347 
Bulgary 4293156 Chelyabinsk Asia 1 Sport Climb 608884 - - 
Russia 8834594 Zavolzhye Oceania 1 Beach Winter 40 23 324 
Bulgary 7496947 Zavolzhye Asia 0 Excursion 96 Art - - 
Britain 2706078 Chelyabinsk Africa 0 Excursion 54 Art - - 
Ukraine 5605336 Chelyabinsk SouthAmerica 0 Excursion 84 History - - 
Belarus 710647 Zavolzhye Asia 1 Beach Winter 0 30 303 
Japan 5500113 Belgorod Europe 1 Sport Climb 569739 - - 
Ukraine 730153 Zavolzhye Europe 0 Excursion 50 Nature - - 
Japan 111672 Honkong Oceania 0 Sport Surfing 895720 - - 
Australia 3866505 Chelyabinsk Africa 1 Excursion 3 Nature - - 
Britain 350241 Odessa Africa 0 Beach Summer 14 0 447 
Ukraine 4152381 Moscow Africa 0 Sport Surfing 888030 - - 
China 3780601 Minsk Antarctica 1 Beach Summer -29 17 234 
Australia 8382403 Chelyabinsk Oceania 0 Beach Autumn -23 22 71 
Russia 6664717 Odessa Africa 1 Excursion 44 History - - 
Georgia 922104 Odessa Europe 1 Excursion 39 History - - 
China 731076 Seul NorthAmerica 1 Excursion 51 History - - 
Germany 9493719 Odessa Europe 1 Excursion 81 Art - - 
Ukraine 5340282 Odessa Antarctica 0 Excursion 17 Art - - 
Belarus 868524 Seul Europe 1 Beach Spring -22 25 693 
Russia 1482419 Zavolzhye Oceania 0 Beach Autumn 6 20 210 
Belarus 8066447 Sochi Asia 0 Excursion 95 Nature - - 
Ukraine 3528916 Humburg Europe 1 Sport Climb 273912 - - 
Ukraine 3700413 Colorado Europe 1 Sport Skiing 10609 - - 
USA 5154260 Belgorod Asia 0 Sport Surfing 90266 - - 
Georgia 2488076 Moscow Oceania 1 Beach Spring 30 5 556 
USA 5882816 Minsk Africa 0 Beach Autumn 14 18 460 
Bulgary 2565698 Belgorod Africa 1 Excursion 80 Nature - - 
Georgia 898857 Minsk Europe 1 Beach Summer -25 1 570 
Bulgary 8514731 Sochi Oceania 0 Sport Skiing 975951 - - 
Bulgary 3450183 London Africa 0 Excursion 52 Art - - 
Georgia 513721 Minsk SouthAmerica 1 Excursion 30 Nature - - 
China 3164365 Seul NorthAmerica 0 Beach Summer -7 29 241 
Japan 2375144 Honkong SouthAmerica 0 Beach Summer -13 24 675 
Bulgary 6330942 Sochi Antarctica 1 Sport Skiing 35751 - - 
Belarus 8102417 Moscow Africa 1 Excursion 71 Nature - - 
Bulgary 5217904 Zavolzhye Oceania 0 Beach Spring -30 24 615 
Ukraine 6598194 Minsk Asia 0 Beach Summer 38 5 21 
China 5135146 Humburg Antarctica 1 Excursion 42 History - - 
Belarus 3221380 Honkong Europe 0 Beach Winter 14 11 119 
Russia 1869023 Colorado SouthAmerica 0 Sport Climb 370906 - - 
Germany 3237187 Moscow NorthAmerica 1 Excursion 90 Art - - 
Germany 7030094 Honkong SouthAmerica 0 Excursion 30 History - - 
Japan 4138946 Odessa SouthAmerica 1 Beach Winter -3 9 632 
Belarus 8178929 Sochi SouthAmerica 0 Excursion 65 Art - - 
Russia 9536426 Honkong SouthAmerica 0 Sport Surfing 933656 - - 
Bulgary 460302 Seul SouthAmerica 1 Excursion 57 History - - 
Germany 5448828 Chelyabinsk Antarctica 0 Excursion 60 Nature - - 
Germany 315512 London Oceania 1 Beach Winter 15 18 503 
USA 8969469 Odessa Oceania 0 Excursion 49 Nature - - 
Japan 2792605 Odessa NorthAmerica 0 Sport Surfing 46270 - - 
Bulgary 9315831 Colorado NorthAmerica 1 Excursion 41 Nature - - 
Australia 9690805 Sochi SouthAmerica 0 Excursion 84 Art - - 
USA 5842127 London SouthAmerica 1 Sport Climb 818557 - - 
Germany 242134 Chelyabinsk SouthAmerica 0 Beach Spring 8 28 537 
Australia 2120506 Moscow Antarctica 0 Excursion 91 Art - - 
USA 1554897 London NorthAmerica 1 Beach Autumn 0 22 202 
Germany 7900897 Belgorod Oceania 1 Beach Autumn 29 13 568 
Bulgary 3094851 Belgorod SouthAmerica 0 Sport Surfing 453053 - - 
Georgia 3438332 Chelyabinsk Oceania 0 Beach Spring 3 3 151 
China 852304 Seul Asia 1 Beach Spring 18 9 55 
Japan 7137819 Zavolzhye Europe 0 Excursion 83 History - - 
Ukraine 6545137 London SouthAmerica 0 Excursion 34 Art - - 
Australia 2633721 Humburg Africa 1 Excursion 50 Art - - 
Ukraine 9822986 Belgorod Africa 0 Excursion 9 Art - - 
Bulgary 6303391 Chelyabinsk Asia 0 Sport Climb 480110 - - 
Ukraine 3210934 Belgorod Europe 1 Sport Climb 909732 - - 
China 2190087 Honkong NorthAmerica 0 Excursion 45 Nature - - 
Russia 1079664 Zavolzhye SouthAmerica 0 Beach Spring 24 12 535 
Bulgary 2928144 Humburg Asia 1 Beach Summer -23 10 719 
Russia 6353481 Belgorod Africa 1 Excursion 84 History - - 
Russia 9903925 Colorado SouthAmerica 1 Sport Skiing 111619 - - 
Australia 898477 Belgorod Oceania 0 Excursion 72 Nature - - 
Britain 8883088 Belgorod NorthAmerica 0 Sport Skiing 63433 - - 
Britain 1352666 Chelyabinsk Africa 0 Beach Autumn 22 27 234 
China 881664 Humburg Africa 0 Sport Climb 832404 - - 
Russia 7376323 Odessa Africa 1 Sport Surfing 437324 - - 
China 7419205 Minsk Europe 0 Beach Summer 13 9 4 
Bulgary 6674445 Chelyabinsk Oceania 0 Excursion 16 Nature - - 
Ukraine 1316490 Seul Antarctica 1 Excursion 19 Art - - 
Germany 8501359 Sochi SouthAmerica 0 Beach Winter 0 0 20 
Japan 9809986 Humburg Oceania 0 Sport Climb 413326 - - 
USA 6071991 Moscow Europe 1 Sport Climb 798277 - - 
Germany 3945033 Sochi Africa 1 Beach Summer -16 27 691 
Bulgary 4063969 Minsk Africa 0 Beach Autumn -12 30 340 
Russia 1175450 Belgorod Asia 1 Sport Surfing 237397 - - 
USA 5845979 Humburg Oceania 0 Excursion 81 Art - - 
Georgia 961976 London Africa 1 Excursion 79 History - - 
Britain 9836879 Minsk NorthAmerica 1 Sport Surfing 59863 - - 
Ukraine 6865833 Odessa Africa 0 Beach Spring 30 13 561 
Russia 3829539 Belgorod Oceania 1 Excursion 93 Nature - - 
Britain 9911231 London Oceania 1 Excursion 14 History - - 
Australia 7219063 Odessa Africa 0 Sport Skiing 841932 - - 
Belarus 8008312 Sochi Oceania 0 Beach Spring 0 1 77 
Australia 1949612 Honkong Antarctica 1 Sport Surfing 573315 - - 
Australia 6822398 Minsk Antarctica 1 Excursion 99 Art - - 
USA 1666102 Chelyabinsk Oceania 1 Sport Climb 325132 - - 
Belarus 8055162 Odessa SouthAmerica 0 Beach Spring -22 6 322 
Georgia 4952232 Seul Oceania 1 Excursion 95 Nature - - 
Germany 6106820 Minsk Europe 1 Beach Winter -16 19 498 
Bulgary 8938307 Zavolzhye Oceania 1 Sport Climb 98486 - - 
China 686674 Sochi NorthAmerica 0 Beach Autumn 31 16 415 
Russia 8128623 Zavolzhye Antarctica 0 Sport Climb 149723 - - 
Bulgary 4825470 Colorado Africa 0 Excursion 95 History - - 
Belarus 4036293 Moscow Oceania 1 Sport Surfing 336908 - - 
Britain 9896643 Seul Europe 1 Excursion 42 Art - - 
USA 1395952 Humburg Antarctica 1 Sport Surfing 812425 - - 
Australia 7839700 Seul Oceania 1 Sport Skiing 79995 - - 
Ukraine 2075730 Sochi Antarctica 0 Excursion 49 Nature - - 
Germany 2375637 Colorado NorthAmerica 1 Beach Spring -24 25 235 
Japan 4976850 Minsk NorthAmerica 1 Beach Autumn -9 12 31 
USA 9121743 Moscow Africa 1 Sport Climb 749183 - - 
Australia 8227309 Minsk Oceania 0 Excursion 93 History - - 
USA 7935845 Odessa NorthAmerica 0 Beach Winter 27 9 382 
Britain 2113510 Moscow Africa 1 Beach Winter -8 28 411 
Belarus 827511 Humburg SouthAmerica 0 Excursion 73 Nature - - 
Britain 1818300 Belgorod SouthAmerica 1 Excursion 17 History - - 
Ukraine 591042 Moscow Oceania 0 Beach Autumn 31 26 627 
Germany 1028100 Chelyabinsk Antarctica 1 Beach Summer 5 29 535 
Russia 9283528 Zavolzhye Antarctica 1 Beach Summer 33 23 575 
Japan 7025553 Sochi SouthAmerica 0 Sport Skiing 321823 - - 
Belarus 1206604 Belgorod Antarctica 1 Excursion 75 Art - - 
Britain 5468780 Belgorod Antarctica 1 Excursion 91 Art - - 
USA 506001 Colorado Antarctica 1 Sport Climb 582590 - - 
Belarus 1104436 Humburg Antarctica 0 Excursion 0 History - - 
Belarus 1162542 London Antarctica 1 Sport Surfing 102984 - - 
